model_id,architecture,training_parent,training_relation,phase,planned_chemical_replicas,eligible_chemical_replicas,scientific_status,endpoint,mean,sample_standard_deviation,ci95_lower,ci95_upper,ci_method
DPA3__bcc_parent,DPA3,bcc,phase_native,bcc,5,5,eligible_balanced,density_g_cm3,10.3325108229961,0.00486200104989212,10.32647385133322,10.33854779465898,"two-sided Student-t, df=4"
DPA3__bcc_parent,DPA3,bcc,phase_native,bcc,5,5,eligible_balanced,max_force_eV_per_A,0.0013777129279333167,0.0007755038283050264,0.00041479774385777025,0.002340628112008863,"two-sided Student-t, df=4"
DPA3__bcc_parent,DPA3,bcc,phase_native,bcc,5,5,eligible_balanced,pressure_error_GPa,0.024229242402541297,0.01716471928403092,0.002916428428286176,0.04554205637679642,"two-sided Student-t, df=4"
DPA3__bcc_parent,DPA3,bcc,phase_native,bcc,5,5,eligible_balanced,max_stress_error_GPa,0.0720195632306878,0.02277147354707694,0.04374504434123294,0.10029408212014265,"two-sided Student-t, df=4"
DPA3__bcc_parent,DPA3,bcc,phase_native,bcc,5,5,eligible_balanced,fraction_bcc,0.9821,0.0074866547936979135,0.9728040902756856,0.9913959097243144,"two-sided Student-t, df=4"
DPA3__bcc_parent,DPA3,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,energy_eV_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA3__bcc_parent,DPA3,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,volume_A3_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA3__bcc_parent,DPA3,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,density_g_cm3,,,,,blocked: incomplete five-decoration matrix
DPA3__bcc_parent,DPA3,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,max_force_eV_per_A,,,,,blocked: incomplete five-decoration matrix
DPA3__bcc_parent,DPA3,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,pressure_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA3__bcc_parent,DPA3,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,max_stress_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA3__bcc_parent,DPA3,bcc,reciprocal_alarm,fcc,5,0,blocked_incomplete,fraction_fcc,,,,,blocked: incomplete five-decoration matrix
DPA3__fcc_parent,DPA3,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,energy_eV_per_atom,-9.74196780141167,0.0015472493171022569,-9.743888965184961,-9.740046637638379,"two-sided Student-t, df=4"
DPA3__fcc_parent,DPA3,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,volume_A3_per_atom,19.060987291684818,0.011958595213057841,19.04613873453967,19.075835848829964,"two-sided Student-t, df=4"
DPA3__fcc_parent,DPA3,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,density_g_cm3,10.35786461248736,0.006496717441887838,10.349797872333266,10.365931352641454,"two-sided Student-t, df=4"
DPA3__fcc_parent,DPA3,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,max_force_eV_per_A,0.0006601517121453068,0.0002778632763303084,0.0003151388855030181,0.0010051645387875955,"two-sided Student-t, df=4"
DPA3__fcc_parent,DPA3,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,pressure_error_GPa,0.021690133368802756,0.0220814340487736,-0.005727588318270253,0.04910785505587577,"two-sided Student-t, df=4"
DPA3__fcc_parent,DPA3,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,max_stress_error_GPa,0.08239123185149914,0.01807183582537174,0.059952083925686,0.10483037977731229,"two-sided Student-t, df=4"
DPA3__fcc_parent,DPA3,fcc,reciprocal_alarm,bcc,5,5,eligible_balanced,fraction_bcc,0.9934,0.003911521443121593,0.9885432046458739,0.998256795354126,"two-sided Student-t, df=4"
DPA3__fcc_parent,DPA3,fcc,phase_native,fcc,5,0,blocked_incomplete,energy_eV_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA3__fcc_parent,DPA3,fcc,phase_native,fcc,5,0,blocked_incomplete,volume_A3_per_atom,,,,,blocked: incomplete five-decoration matrix
DPA3__fcc_parent,DPA3,fcc,phase_native,fcc,5,0,blocked_incomplete,density_g_cm3,,,,,blocked: incomplete five-decoration matrix
DPA3__fcc_parent,DPA3,fcc,phase_native,fcc,5,0,blocked_incomplete,max_force_eV_per_A,,,,,blocked: incomplete five-decoration matrix
DPA3__fcc_parent,DPA3,fcc,phase_native,fcc,5,0,blocked_incomplete,pressure_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA3__fcc_parent,DPA3,fcc,phase_native,fcc,5,0,blocked_incomplete,max_stress_error_GPa,,,,,blocked: incomplete five-decoration matrix
DPA3__fcc_parent,DPA3,fcc,phase_native,fcc,5,0,blocked_incomplete,fraction_fcc,,,,,blocked: incomplete five-decoration matrix
DPA4__bcc_parent,DPA4,bcc,phase_native,bcc,5,5,eligible_balanced,energy_eV_per_atom,-9.760964413021444,0.0008282001792703186,-9.76199275936735,-9.759936066675538,"two-sided Student-t, df=4"
DPA4__bcc_parent,DPA4,bcc,phase_native,bcc,5,5,eligible_balanced,volume_A3_per_atom,18.91973083246356,0.0027275898150453293,18.916344082388353,18.92311758253877,"two-sided Student-t, df=4"
DPA4__bcc_parent,DPA4,bcc,phase_native,bcc,5,5,eligible_balanced,density_g_cm3,10.43519427550868,0.0015044262928768462,10.433326283542863,10.437062267474497,"two-sided Student-t, df=4"
DPA4__bcc_parent,DPA4,bcc,phase_native,bcc,5,5,eligible_balanced,max_force_eV_per_A,0.0003454996117282616,7.814798482327913e-05,0.0002484660724410216,0.00044253315101550164,"two-sided Student-t, df=4"
DPA4__bcc_parent,DPA4,bcc,phase_native,bcc,5,5,eligible_balanced,pressure_error_GPa,0.009143312585705509,0.009871076518580652,-0.003113247750930659,0.021399872922341676,"two-sided Student-t, df=4"
DPA4__bcc_parent,DPA4,bcc,phase_native,bcc,5,5,eligible_balanced,max_stress_error_GPa,0.0596510062882582,0.012713926417657825,0.043864581579640696,0.0754374309968757,"two-sided Student-t, df=4"
