orientation,temperature_K,strain_bin,n_realization_pairs,strain_mean,stress_GPa_mean,stress_GPa_sd,stress_GPa_min,stress_GPa_max,curve_role
100,300,57,3,0.0574499999999999,3.222688,0.1327543575593663,3.0782669999999994,3.339403,descriptive_equal_realization_mean_not_inferential_frames
100,300,58,3,0.0584499999999999,3.256213,0.0733285885586242,3.182083,3.328713,descriptive_equal_realization_mean_not_inferential_frames
100,300,59,3,0.0594499999999999,3.2571046666666668,0.0469031587138154,3.2041759999999995,3.29351,descriptive_equal_realization_mean_not_inferential_frames
100,300,60,3,0.0604499999999999,3.3237403333333333,0.0764539712594011,3.235973,3.375863,descriptive_equal_realization_mean_not_inferential_frames
100,300,61,3,0.0614499999999999,3.395588333333334,0.0553524708241047,3.362331,3.4594860000000005,descriptive_equal_realization_mean_not_inferential_frames
100,300,62,3,0.0624499999999999,3.3579866666666667,0.1510259933598628,3.2397830000000005,3.528128,descriptive_equal_realization_mean_not_inferential_frames
100,300,63,3,0.0634499999999999,3.449199666666667,0.0800769310746443,3.36002,3.514945,descriptive_equal_realization_mean_not_inferential_frames
100,300,64,3,0.0644499999999999,3.4443756666666663,0.0941759460071059,3.336528,3.510373,descriptive_equal_realization_mean_not_inferential_frames
100,300,65,3,0.0654499999999999,3.472230333333333,0.1142067598977106,3.364353,3.591858,descriptive_equal_realization_mean_not_inferential_frames
100,300,66,3,0.0664499999999999,3.5592183333333334,0.1704713362543199,3.401586,3.740135,descriptive_equal_realization_mean_not_inferential_frames
100,300,67,3,0.0674499999999999,3.6223346666666663,0.0548456855307083,3.569344,3.678864,descriptive_equal_realization_mean_not_inferential_frames
100,300,68,3,0.0684499999999999,3.651253666666666,0.0655700491103474,3.5857299999999994,3.71687,descriptive_equal_realization_mean_not_inferential_frames
100,300,69,3,0.0694499999999999,3.68319,0.0803362675819579,3.626398000000001,3.775107,descriptive_equal_realization_mean_not_inferential_frames
100,300,70,3,0.0704499999999999,3.698741666666667,0.1381669793269478,3.561744,3.838049,descriptive_equal_realization_mean_not_inferential_frames
100,300,71,3,0.0714499999999999,3.694430333333333,0.0758754996974213,3.631066,3.778513,descriptive_equal_realization_mean_not_inferential_frames
100,300,72,3,0.0724499999999999,3.732570333333333,0.0880222080178253,3.667791,3.832788,descriptive_equal_realization_mean_not_inferential_frames
100,300,73,3,0.0734499999999999,3.7851456666666654,0.1161392122641332,3.651163,3.857117,descriptive_equal_realization_mean_not_inferential_frames
100,300,74,3,0.0744499999999999,3.771216666666666,0.084743165036086,3.686668,3.856153,descriptive_equal_realization_mean_not_inferential_frames
100,300,75,3,0.0754499999999999,3.807009,0.068995509969852,3.753183,3.884788999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,76,3,0.0764499999999999,3.909390333333333,0.0102716046620446,3.90008,3.920409,descriptive_equal_realization_mean_not_inferential_frames
100,300,77,3,0.0774499999999999,3.9003686666666666,0.0633790700810077,3.828757,3.949241,descriptive_equal_realization_mean_not_inferential_frames
100,300,78,3,0.0784499999999999,3.8340556666666665,0.1504071202082315,3.685088999999999,3.985863,descriptive_equal_realization_mean_not_inferential_frames
100,300,79,3,0.0794499999999999,3.945331,0.0848604568512329,3.868827,4.036607999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,80,3,0.08045,3.987909333333333,0.0830218379122828,3.896705,4.059084,descriptive_equal_realization_mean_not_inferential_frames
100,300,81,3,0.08145,3.958306333333333,0.0256962239703294,3.928954,3.976741,descriptive_equal_realization_mean_not_inferential_frames
100,300,82,3,0.08245,4.063329,0.0505846057313885,4.005137,4.096792000000001,descriptive_equal_realization_mean_not_inferential_frames
100,300,83,3,0.0834499999999999,4.03896,0.0545340850844679,3.977306,4.08088,descriptive_equal_realization_mean_not_inferential_frames
100,300,84,3,0.0844499999999999,3.998162333333333,0.0476286364735893,3.945234,4.037566,descriptive_equal_realization_mean_not_inferential_frames
100,300,85,3,0.0854499999999999,4.109182999999999,0.1019960404868737,3.991438,4.170353,descriptive_equal_realization_mean_not_inferential_frames
100,300,86,3,0.0864499999999999,4.111851000000001,0.0760870915727501,4.029738999999999,4.179971,descriptive_equal_realization_mean_not_inferential_frames
100,300,87,3,0.0874499999999999,4.030136,0.0568055008251845,3.981298,4.092476,descriptive_equal_realization_mean_not_inferential_frames
100,300,88,3,0.0884499999999999,4.093793999999999,0.0251343506182272,4.070014,4.120092999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,89,3,0.0894499999999999,4.156850666666666,0.0517576438251717,4.10432,4.207799,descriptive_equal_realization_mean_not_inferential_frames
100,300,90,3,0.0904499999999999,4.118402666666666,0.0967990927505686,4.0300080000000005,4.221843999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,91,3,0.0914499999999999,4.090476,0.0286449553848493,4.071481,4.123424,descriptive_equal_realization_mean_not_inferential_frames
100,300,92,3,0.0924499999999999,4.188011,0.0523590006684617,4.140242,4.243989999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,93,3,0.0934499999999999,4.159972666666667,0.0675433059920323,4.094625000000001,4.229516,descriptive_equal_realization_mean_not_inferential_frames
100,300,94,3,0.0944499999999999,4.266688333333334,0.0680618196152097,4.188221,4.309739,descriptive_equal_realization_mean_not_inferential_frames
100,300,95,3,0.09545,4.1652960000000006,0.0177839673020392,4.15278,4.185653,descriptive_equal_realization_mean_not_inferential_frames
100,300,96,3,0.09645,4.162950333333334,0.0513655747104358,4.114794999999999,4.217015,descriptive_equal_realization_mean_not_inferential_frames
100,300,97,3,0.09745,4.195850666666667,0.0450261800770761,4.144239000000001,4.227091,descriptive_equal_realization_mean_not_inferential_frames
100,300,98,3,0.09845,4.218088000000001,0.0571282127586706,4.164077000000001,4.277892,descriptive_equal_realization_mean_not_inferential_frames
100,300,99,3,0.09945,4.254229333333333,0.0556601189751987,4.193906,4.303596999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,100,3,0.10045,4.185097666666667,0.0856109427370903,4.086252,4.235697,descriptive_equal_realization_mean_not_inferential_frames
100,300,101,3,0.10145,4.1843053333333335,0.0462609846450907,4.133031,4.222915,descriptive_equal_realization_mean_not_inferential_frames
100,300,102,3,0.10245,4.211189333333333,0.0976554442534226,4.099574,4.280893,descriptive_equal_realization_mean_not_inferential_frames
100,300,103,3,0.10345,4.195617666666667,0.0598698526500053,4.127118,4.237945000000001,descriptive_equal_realization_mean_not_inferential_frames
100,300,104,3,0.10445,4.152607,0.0564815035564738,4.104725,4.214897,descriptive_equal_realization_mean_not_inferential_frames
100,300,105,3,0.10545,4.131099666666667,0.1014576913266476,4.046863,4.243729,descriptive_equal_realization_mean_not_inferential_frames
100,300,106,3,0.10645,4.209040666666667,0.1678487560940898,4.018969,4.336906,descriptive_equal_realization_mean_not_inferential_frames
100,300,107,3,0.10745,4.179136333333333,0.1197599146055697,4.040887,4.25105,descriptive_equal_realization_mean_not_inferential_frames
100,300,108,3,0.10845,4.193162,0.1370595771298014,4.076124,4.343941,descriptive_equal_realization_mean_not_inferential_frames
100,300,109,3,0.10945,4.272917333333333,0.0899438014669899,4.179319,4.358695999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,110,3,0.11045,4.212617333333333,0.0446467701220739,4.1672910000000005,4.256552,descriptive_equal_realization_mean_not_inferential_frames
100,300,111,3,0.11145,4.205241,0.0664482797595238,4.137780000000001,4.270628,descriptive_equal_realization_mean_not_inferential_frames
100,300,112,3,0.11245,4.208450666666667,0.0937410800894327,4.134794999999999,4.31397,descriptive_equal_realization_mean_not_inferential_frames
100,300,113,3,0.11345,4.150689333333333,0.0762990220208183,4.10454,4.238758,descriptive_equal_realization_mean_not_inferential_frames
100,300,114,3,0.11445,4.151998333333334,0.0483912250447669,4.096317000000001,4.183889,descriptive_equal_realization_mean_not_inferential_frames
100,300,115,3,0.11545,4.062087666666667,0.0117637342852231,4.048647,4.07051,descriptive_equal_realization_mean_not_inferential_frames
100,300,116,3,0.11645,4.060917666666668,0.0340842573974169,4.024246,4.091628000000001,descriptive_equal_realization_mean_not_inferential_frames
100,300,117,3,0.11745,4.065313333333333,0.0218633676805135,4.040108,4.079151,descriptive_equal_realization_mean_not_inferential_frames
100,300,118,3,0.1184499999999999,4.010755333333333,0.023699837348246,3.983746,4.028074999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,119,3,0.11945,3.967144,0.0224921306905326,3.942975,3.987462,descriptive_equal_realization_mean_not_inferential_frames
100,300,120,3,0.1204499999999999,3.9276206666666673,0.0702016417495583,3.846583,3.969855,descriptive_equal_realization_mean_not_inferential_frames
100,300,121,3,0.1214499999999999,3.887327,0.1780375362472759,3.725276,4.0779060000000005,descriptive_equal_realization_mean_not_inferential_frames
100,300,122,3,0.1224499999999999,3.945475333333333,0.1501833570217862,3.802299,4.101801,descriptive_equal_realization_mean_not_inferential_frames
100,300,123,3,0.1234499999999999,3.8770566666666655,0.1680586891783144,3.733675,4.061995,descriptive_equal_realization_mean_not_inferential_frames
100,300,124,3,0.1244499999999999,3.8369743333333326,0.1571346125153,3.687317999999999,4.000648,descriptive_equal_realization_mean_not_inferential_frames
100,300,125,3,0.1254499999999999,3.8573203333333335,0.2110911287627532,3.69738,4.096582,descriptive_equal_realization_mean_not_inferential_frames
100,300,126,3,0.12645,3.881753,0.2308576638905448,3.710322000000001,4.144256,descriptive_equal_realization_mean_not_inferential_frames
100,300,127,3,0.1274499999999999,3.805670000000001,0.2811384082138192,3.518669,4.080554,descriptive_equal_realization_mean_not_inferential_frames
100,300,128,3,0.12845,3.699528333333333,0.242387061117819,3.5100229999999994,3.972655,descriptive_equal_realization_mean_not_inferential_frames
100,300,129,3,0.1294499999999999,3.6333636666666655,0.3408254878047318,3.318287,3.995125,descriptive_equal_realization_mean_not_inferential_frames
100,300,130,3,0.13045,3.60426,0.2667186518018566,3.341905000000001,3.8751380000000006,descriptive_equal_realization_mean_not_inferential_frames
100,300,131,3,0.1314499999999999,3.5621043333333327,0.3294185189350064,3.319153,3.937051,descriptive_equal_realization_mean_not_inferential_frames
100,300,132,3,0.13245,3.5115843333333334,0.3547972041664549,3.268806,3.918762,descriptive_equal_realization_mean_not_inferential_frames
100,300,133,3,0.1334499999999999,3.4864226666666664,0.3897858218577649,3.2506120000000003,3.936334,descriptive_equal_realization_mean_not_inferential_frames
100,300,134,3,0.13445,3.3579286666666666,0.3576749929214139,3.0242599999999995,3.735548,descriptive_equal_realization_mean_not_inferential_frames
100,300,135,3,0.13545,3.387700666666667,0.3007281742775914,3.100305,3.700189,descriptive_equal_realization_mean_not_inferential_frames
100,300,136,3,0.13645,3.352957,0.3579545348560344,3.050709,3.748245,descriptive_equal_realization_mean_not_inferential_frames
100,300,137,3,0.13745,3.2882653333333334,0.4213413754301057,2.901382,3.737186,descriptive_equal_realization_mean_not_inferential_frames
100,300,138,3,0.13845,3.265604,0.4461249572586138,2.9113960000000003,3.766637,descriptive_equal_realization_mean_not_inferential_frames
100,300,139,3,0.13945,3.282763333333333,0.3584270631207044,2.978582,3.677908,descriptive_equal_realization_mean_not_inferential_frames
100,300,140,3,0.14045,3.268853,0.2986808038274304,3.0429230000000005,3.607488,descriptive_equal_realization_mean_not_inferential_frames
100,300,141,3,0.14145,3.263178333333333,0.2880136978866341,3.0675979999999994,3.593913,descriptive_equal_realization_mean_not_inferential_frames
100,300,142,3,0.14245,3.1460756666666665,0.2280693656989761,2.989452,3.407738,descriptive_equal_realization_mean_not_inferential_frames
100,300,143,3,0.14345,3.1301143333333328,0.2165223936463233,2.9630079999999994,3.374722,descriptive_equal_realization_mean_not_inferential_frames
100,300,144,3,0.14445,3.0904740000000004,0.2721004510598981,2.820196,3.364361,descriptive_equal_realization_mean_not_inferential_frames
100,300,145,3,0.14545,3.0970030000000004,0.3217462871223228,2.785831,3.4283720000000004,descriptive_equal_realization_mean_not_inferential_frames
100,300,146,3,0.14645,3.0702176666666667,0.2886417272196334,2.817994,3.385013,descriptive_equal_realization_mean_not_inferential_frames
100,300,147,3,0.14745,3.0077510000000003,0.2490094670268585,2.835508,3.2932590000000004,descriptive_equal_realization_mean_not_inferential_frames
100,300,148,3,0.14845,2.9320383333333333,0.161520569044111,2.821019,3.1173360000000003,descriptive_equal_realization_mean_not_inferential_frames
100,300,149,3,0.14945,2.885389333333334,0.1007429425634038,2.8263650000000005,3.001713,descriptive_equal_realization_mean_not_inferential_frames
100,300,150,3,0.15045,2.861280333333333,0.1325681680130391,2.715768,2.975194,descriptive_equal_realization_mean_not_inferential_frames
100,300,151,3,0.15145,2.7551376666666667,0.0169243606181543,2.7361380000000004,2.7685990000000005,descriptive_equal_realization_mean_not_inferential_frames
100,300,152,3,0.15245,2.7014790000000004,0.1102877559885957,2.583,2.801159,descriptive_equal_realization_mean_not_inferential_frames
100,300,153,3,0.15345,2.6805506666666665,0.2191772713087132,2.449464,2.885469,descriptive_equal_realization_mean_not_inferential_frames
100,300,154,3,0.15445,2.6152960000000003,0.3043714702054055,2.269971,2.844571,descriptive_equal_realization_mean_not_inferential_frames
100,300,155,3,0.15545,2.449558666666667,0.2883433940934549,2.11822,2.6435640000000005,descriptive_equal_realization_mean_not_inferential_frames
100,300,156,3,0.15645,2.3846643333333333,0.3707510479086113,1.957847,2.626823,descriptive_equal_realization_mean_not_inferential_frames
100,300,157,3,0.15745,2.292102333333333,0.4140888096886141,1.814013,2.537665,descriptive_equal_realization_mean_not_inferential_frames
100,300,158,3,0.15845,2.187750333333333,0.3975894879110027,1.729605,2.442407,descriptive_equal_realization_mean_not_inferential_frames
100,300,159,3,0.1594499999999999,2.105267,0.1698425007970619,1.911164,2.226598,descriptive_equal_realization_mean_not_inferential_frames
100,300,160,3,0.16045,1.996374,0.1688055452673283,1.808221,2.1345430000000003,descriptive_equal_realization_mean_not_inferential_frames
100,300,161,3,0.1614499999999999,2.0732086666666665,0.0735978574574921,1.989775,2.128917,descriptive_equal_realization_mean_not_inferential_frames
100,300,162,3,0.16245,2.018426,0.0864878857586425,1.952189,2.116272,descriptive_equal_realization_mean_not_inferential_frames
100,300,163,3,0.1634499999999999,2.0050776666666668,0.0644519972253253,1.931135,2.049358,descriptive_equal_realization_mean_not_inferential_frames
100,300,164,3,0.16445,2.0039096666666665,0.1687473256360923,1.858679,2.1890270000000003,descriptive_equal_realization_mean_not_inferential_frames
100,300,165,3,0.1654499999999999,1.940602333333333,0.0784259570571715,1.872651,2.02642,descriptive_equal_realization_mean_not_inferential_frames
100,300,166,3,0.16645,1.9667503333333332,0.072934168003298,1.883054,2.016697,descriptive_equal_realization_mean_not_inferential_frames
100,300,167,3,0.16745,1.8537,0.0411476558141528,1.8063180000000003,1.880447,descriptive_equal_realization_mean_not_inferential_frames
100,300,168,3,0.16845,1.800854,0.1541306832755892,1.6228849999999997,1.891081,descriptive_equal_realization_mean_not_inferential_frames
100,300,169,3,0.16945,1.8137073333333331,0.1597318901232103,1.629419,1.912381,descriptive_equal_realization_mean_not_inferential_frames
100,300,170,3,0.17045,1.8105023333333328,0.1553319577238802,1.65847,1.968936,descriptive_equal_realization_mean_not_inferential_frames
100,300,171,3,0.17145,1.7699730000000002,0.1102000465925492,1.64554,1.855241,descriptive_equal_realization_mean_not_inferential_frames
100,300,172,3,0.17245,1.7390216666666662,0.1367971600631144,1.5814489999999997,1.827379,descriptive_equal_realization_mean_not_inferential_frames
