architecture,fold,system_id,parent_family,structure,hnf_group,comparison,pure_coverage_distance_median,treatment_coverage_distance_median,coverage_distance_reduction,pure_force_component_rmse_ev_a,treatment_force_component_rmse_ev_a,force_component_rmse_reduction_ev_a
DPA2,fcc_to_bcc,POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_06_H0C5,0.0,pure_pocc_seed_vs_pure,3.722535757599767,3.258020384130901,0.46451537346886607,1.598562896953536,1.319474879314251,0.2790880176392849
DPA2,fcc_to_bcc,POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_07_H0C6,0.0,pure_pocc_seed_vs_pure,3.651528507323513,3.651528507323513,0.0,2.145161365431376,0.6997046532139201,1.4454567122174562
DPA2,fcc_to_bcc,POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_08_H0C7,0.0,pure_pocc_seed_vs_pure,3.6387879886336334,3.6387879886336334,0.0,1.6947549354668765,1.1387898317777791,0.5559651036890974
DPA2,fcc_to_bcc,POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_09_H0C8,0.0,pure_pocc_seed_vs_pure,3.699821302448133,3.43344049491946,0.26638080752867266,1.6034820052544154,1.3468916061325071,0.2565903991219083
DPA2,fcc_to_bcc,POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_10_H0C10,0.0,pure_pocc_seed_vs_pure,3.50165458128283,3.50165458128283,0.0,1.7827666909178124,1.32707719952146,0.4556894913963523
DPA2,fcc_to_bcc,POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_11_H0C12,0.0,pure_pocc_seed_vs_pure,3.657794283941296,3.657794283941296,0.0,1.7336666399209306,0.8069013059843131,0.9267653339366175
DPA2,fcc_to_bcc,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_12_H0C14,0.0,pure_pocc_seed_vs_pure,3.773485589645493,3.636581111363588,0.13690447828190466,1.7710495322527944,1.0790320707309575,0.6920174615218369
DPA2,fcc_to_bcc,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_13_H1C0,1.0,pure_pocc_seed_vs_pure,4.614244489334372,2.2568992149322744,2.357345274402098,0.8281506143570359,0.7878099919520436,0.040340622404992255
DPA2,fcc_to_bcc,POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_14_H1C1,1.0,pure_pocc_seed_vs_pure,4.5828648690984615,2.305596390376425,2.2772684787220365,0.7967954393709523,0.8185687326912922,-0.021773293320339837
DPA2,fcc_to_bcc,POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_15_H1C2,1.0,pure_pocc_seed_vs_pure,4.536847796753316,2.284670086192091,2.2521777105612246,0.9142810162754584,0.8360680472515618,0.07821296902389663
