fold,fold_label,control,system_id,held_out_environment_count,pure_median_distance,systematic_seed_reduction_fraction,random_median_reduction_fraction,random_q025_reduction_fraction,random_q975_reduction_fraction,systematic_empirical_percentile
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,300,5.441472759376545,0.5174141245839705,0.6204978208516005,0.6108821844257117,0.6290284328709547,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,360,5.4730922037283785,0.5287910747681955,0.6303755670019279,0.6156082604435938,0.6415705204538833,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,360,5.400468453212614,0.4922134453387049,0.6258451108048833,0.6066481392955954,0.6373551377004945,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,360,5.395412733036429,0.49338281353576074,0.6208004546783947,0.6109325815772333,0.6294110136013041,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_44_H4C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,300,5.498576913671456,0.5529490534991104,0.6263706292381286,0.6131771851112424,0.6418831930189679,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_45_H4C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,360,5.425115167796466,0.51206403789144,0.624999636661218,0.614776345285171,0.633675357851238,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_46_H4C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,300,5.520309438178991,0.5570936758820418,0.6699112872326483,0.6120443770339855,0.6908406776296572,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_47_H4C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,300,5.491801119518442,0.698301370614684,0.7797309235378879,0.6136612541304223,0.8076666550797229,34.37
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_48_H4C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,360,5.491008477984291,0.5506490663881253,0.6321437382941866,0.6163387326112548,0.6445292312139804,0.0
fcc_to_bcc,FCC-to-BCC,pooled_random_frames,POCC__bcc__POCC_49_H4C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,300,5.462055158842634,0.5232980578105172,0.6251407397402788,0.6167505689405255,0.6304069080477953,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.7680644386616122,0.04302599855431599,0.2362876044949411,0.20663119489924212,0.26694389099449917,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.7020767236977905,0.02061242169083852,0.24844407592940032,0.17965861839056216,0.25583259276745934,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.694110039599657,0.06840339358819467,0.2566985066632326,0.21473702535408148,0.28681974473813754,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.560535818176704,0.0,0.1750649456919072,0.1460801067584986,0.22904829673846047,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.706039443735964,0.12995291405643608,0.29209906569391203,0.25436059469778055,0.3204907565521724,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.7225357575997666,0.12478466392714452,0.28182579627890925,0.2549196191500354,0.30794665247145986,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.6515285073235133,0.0,0.16981082920693688,0.12409522855438126,0.17965775340247928,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.6387879886336343,0.0,0.20367689826304722,0.1662777205953543,0.24114161198841305,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.6998213024481332,0.07199829012077197,0.24873686488663238,0.17564635179352783,0.26959282703793347,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.50165458128283,0.0,0.17109118330928955,0.11261667091484068,0.19014517298091982,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.6577942839412954,0.0,0.18151041552441055,0.15541201230673407,0.19933167024750903,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,60,3.773485589645493,0.03628064160562141,0.2165178637337116,0.1841052679157607,0.2556141095183148,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,240,4.614244489334372,0.5108843451730831,0.6583745365588766,0.6203449462319265,0.7238329261343245,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,900,4.5828648690984615,0.4969093664701529,0.6899438863628694,0.6343520907217053,0.6986882635751176,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,720,4.536847796753316,0.49641905822208554,0.6695170907421292,0.6272780174424099,0.6972776944551414,0.0
fcc_to_bcc,FCC-to-BCC,one_per_trajectory,POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,1800,4.543459208697742,0.49420815151650394,0.6829890447702265,0.6325211868151123,0.6976541563685921,0.0
