architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8070105761079931,0.8962021154403731,-0.08919153933238,-0.40500076000121416,0.17746293570144228,-11.052090514417808,-46.09562718432514,28.986230004914376,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8307774816630665,0.8962021154403731,-0.06542463377730656,-0.532059110972023,0.32975353497295,-7.875109186438017,-57.5557826912499,44.7417708972996,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,42,0.44484086188651645,0.5700317473728758,-0.12519088548635932,-0.18074423037975984,-0.04778002248526278,-28.142847524267413,-49.797616676701466,-8.399714356157778,degradation,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,42,0.44484086188651645,0.33894725027620104,0.10589361161031541,0.04023906508685463,0.15902627885716034,23.80483015009758,8.561010602734484,39.75232359223189,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,42,0.5700317473728758,0.33894725027620104,0.23108449709667472,0.13425532870341736,0.310098746145949,40.53888194152019,22.409437656900646,58.243730838702064,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.397783320064475,1.4389488080245525,-0.041165487960077574,-0.36204873520767233,0.41094157439942186,-2.9450550288566006,-38.221134109438076,20.1046375861808,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.397783320064475,1.552267597793434,-0.154484277728959,-0.701481893426113,0.30737482109522685,-11.052090514417728,-46.09562718432513,28.986230004914354,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.4389488080245525,1.552267597793434,-0.11331878976888143,-0.9215534128334719,0.57114987654859,-7.875109186437986,-57.55578269124992,44.74177089729957,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,42,357.6916847399046,222.389685281429,135.3019994584756,94.91578317453036,176.96159574535125,37.826431318038715,34.00933594100348,42.2305244782061,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,42,357.6916847399046,255.35961588668562,102.33206885321897,87.78092519034087,115.92009158812078,28.60901531094571,19.789542030029423,44.3695638429995,improvement,10000
