fold,regime,system_id,parent_family,structure,hnf_group,environment_count,coverage_distance_mean,coverage_distance_median,coverage_distance_p90,coverage_distance_minimum,coverage_distance_maximum
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_02_H0C1,0,60,3.449721306005271,3.6257679571370938,3.8329652150936533,3.0369624089032983,3.832973346888482
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_03_H0C2,0,60,3.3627506201422945,3.4414203766028204,3.8451428567125268,2.8467338437233995,3.8451474890694146
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_04_H0C3,0,60,3.4662019732842833,3.560535818176704,3.8596144246302058,3.0404111119413,3.859627520457914
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_05_H0C4,0,60,3.290373190505568,3.224428818414382,3.556926699112774,2.9468492836703897,3.5569373017838766
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_06_H0C5,0,60,3.2779760878988347,3.2580203841309014,3.49625697033881,2.9573154429187807,3.496263851402245
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_07_H0C6,0,60,3.499612426490924,3.6515285073235133,4.176036199949691,2.7951633757957053,4.176043202079743
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_08_H0C7,0,60,3.428950500238754,3.6387879886336343,3.7609506217559,2.8866625918416147,3.771019865499469
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_09_H0C8,0,60,3.350179728401533,3.43344049491946,3.8236338582832987,2.7023726293004326,3.823638195485144
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_10_H0C10,0,60,3.4840627759545852,3.50165458128283,3.948347024869183,2.9025428181822077,3.948362562225299
fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_11_H0C12,0,60,3.5128620451890904,3.6577942839412954,4.13852321432535,2.7847147870551754,4.138524063066309
