architecture,fold,regime,evaluation_variant,endpoint,unit,systems,equal_system_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
DPA3,equal_fold_mean,pure,independence,force_component_mae_ev_a,eV/angstrom,83,0.30197071812239384,0.283015633555484,0.32196565841979313,10000
DPA3,equal_fold_mean,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,83,0.3889098450608112,0.36310791454757263,0.41378545487999746,10000
DPA3,equal_fold_mean,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,83,0.1720196311165475,0.14899311624300343,0.19730749521844182,10000
DPA3,equal_fold_mean,pure,independence,force_vector_rmse_ev_a,eV/angstrom,83,0.7455253136775954,0.688602442050522,0.8097299592302752,10000
DPA3,equal_fold_mean,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,83,0.9427334350874155,0.8901323495708852,0.9926382674971576,10000
DPA3,equal_fold_mean,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,83,0.4220088053461174,0.3617196191914305,0.4879424437602526,10000
DPA3,equal_fold_mean,pure,independence,energy_rmse_mev_atom,meV/atom,83,155.0309123851431,137.32547309177994,172.82473206185097,10000
DPA3,equal_fold_mean,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,83,120.78174602798603,105.89930588246288,136.3530342780301,10000
DPA3,equal_fold_mean,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,83,62.52510488338297,43.23976158236836,82.7380659503553,10000
DPA3,equal_fold_mean,pure,independence,energy_mae_mev_atom,meV/atom,83,153.8362957751181,136.0132839888082,171.66935350745803,10000
DPA3,equal_fold_mean,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,83,116.28170259127847,101.01606998519993,132.29201703013916,10000
DPA3,equal_fold_mean,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,83,59.049608010665985,40.45340391265005,78.5846998326849,10000
DPA3,equal_fold_mean,pure,independence,virial_component_rmse_mev_atom,meV/atom,83,320.123453629393,251.03866219760894,392.9102891307827,10000
DPA3,equal_fold_mean,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,83,298.4368203352812,229.53932009059974,368.8623256588202,10000
DPA3,equal_fold_mean,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,83,289.6022586520431,216.31079021016902,367.50387541605477,10000
DPA3,equal_fold_mean,pure,independence,stress_component_rmse_gpa,GPa,83,2.6675285416171692,2.088398640095112,3.276050779498283,10000
DPA3,equal_fold_mean,pure_pocc_seed,independence,stress_component_rmse_gpa,GPa,83,2.488071757476062,1.9108367369212718,3.082087088114703,10000
DPA3,equal_fold_mean,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,83,2.4138971567821224,1.801321295697551,3.06391301769154,10000
