architecture,fold,comparison,baseline_regime,treatment_regime,force_bin,systems_with_atoms,baseline_equal_system_component_rmse_ev_a,treatment_equal_system_component_rmse_ev_a,absolute_reduction_ev_a,reduction_ci_low,reduction_ci_high,bootstrap_resamples
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0.5, 1)",41,0.5215867282198327,0.735951795052637,-0.21436506683280432,-0.6166242085136705,0.12093109168182317,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[1, 2)",41,0.8818532947694901,0.851816691806447,0.030036602963043113,-0.23675268255779988,0.3960802040608887,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[1, 2)",41,0.8818532947694901,1.0144853296653666,-0.1326320348958765,-0.5351104737534021,0.19504926082380378,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[1, 2)",41,0.851816691806447,1.0144853296653666,-0.1626686378589196,-0.7596077265108593,0.34767990099638313,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[2, 4)",41,0.9392060875351391,1.3009893329661422,-0.36178324543100304,-0.6020392832610486,-0.040632771961968545,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[2, 4)",41,0.9392060875351391,1.1786678385294616,-0.23946175099432243,-0.7426942659084936,0.19196479663505567,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[2, 4)",41,1.3009893329661422,1.1786678385294616,0.12232149443668061,-0.5994499007500041,0.7313803867560791,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[4, inf)",22,1.2312264061211464,2.292353119381124,-1.0611267132599775,-1.3160135439598153,-0.7870593676413378,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[4, inf)",22,1.2312264061211464,1.1529531058987503,0.07827330022239609,-0.12137245846618801,0.2440829844438748,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[4, inf)",22,2.292353119381124,1.1529531058987503,1.1394000134823736,0.7570816072560688,1.4829454209738815,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0, 0.5)",41,0.39439977555605615,0.2193579355755797,0.17504183998047645,0.14648599875863538,0.20435620618235154,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0, 0.5)",41,0.39439977555605615,0.24245899548284847,0.1519407800732077,0.11349505269945598,0.18852526270452713,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0, 0.5)",41,0.2193579355755797,0.24245899548284847,-0.023101059907268767,-0.06750045536686416,0.01595096759783689,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0.5, 1)",41,0.4112683652932382,0.4110329792701026,0.00023538602313555312,-0.02302154205444512,0.023482933677711513,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0.5, 1)",41,0.4112683652932382,0.27278356701600326,0.13848479827723492,0.0868347071277866,0.18490453476743632,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0.5, 1)",41,0.4110329792701026,0.27278356701600326,0.13824941225409937,0.08064248914034441,0.18995166975061556,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[1, 2)",41,0.4300275298723686,0.7294962783896913,-0.29946874851732275,-0.32262333022247713,-0.27510089576159596,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[1, 2)",41,0.4300275298723686,0.31389409241850674,0.11613343745386184,0.04712980326590069,0.17873639680759865,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[1, 2)",41,0.7294962783896913,0.31389409241850674,0.4156021859711846,0.3415887513741916,0.48304753324087757,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[2, 4)",41,0.4740903167069134,1.2076301572668013,-0.733539840559888,-0.7670933016101418,-0.6978921447609543,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[2, 4)",41,0.4740903167069134,0.38627492346731024,0.08781539323960313,-0.005608615563890313,0.17277694516879477,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[2, 4)",41,1.2076301572668013,0.38627492346731024,0.8213552337994912,0.7235363747667147,0.910742542055111,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[4, inf)",24,0.5228236702711804,2.096623431193896,-1.5737997609227155,-1.7500022341525319,-1.362029453862943,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[4, inf)",24,0.5228236702711804,0.5504987991238947,-0.02767512885271428,-0.203900675755005,0.10042081691166344,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[4, inf)",24,2.096623431193896,0.5504987991238947,1.546124632070001,1.2866351279466792,1.7668170868889745,10000
DPA4,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0, 0.5)",42,0.6093809916000975,0.25317181580884857,0.35620917579124894,0.2861280907259534,0.43538583395299785,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0, 0.5)",42,0.6093809916000975,0.18796528596498496,0.42141570563511255,0.35643315630195394,0.4921144840431518,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0, 0.5)",42,0.25317181580884857,0.18796528596498496,0.0652065298438636,0.03651686411314279,0.09073867985630367,10000
DPA4,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0.5, 1)",41,0.7642711737686306,0.3674657344207448,0.3968054393478858,0.20571137916326973,0.6778275629551398,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0.5, 1)",41,0.7642711737686306,0.2563030254973492,0.5079681482712814,0.3174426823457013,0.7831986852441258,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0.5, 1)",41,0.3674657344207448,0.2563030254973492,0.11116270892339564,0.03752093530808959,0.16901943781181872,10000
DPA4,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[1, 2)",41,1.063962715731406,0.5084760513645518,0.5554866643668542,0.1739976495292522,1.0839281867668549,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[1, 2)",41,1.063962715731406,0.3580062560062091,0.7059564597251968,0.36236112676069226,1.1980223624208748,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[1, 2)",41,0.5084760513645518,0.3580062560062091,0.15046979535834265,0.04177662204970949,0.2464242964955601,10000
DPA4,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[2, 4)",41,1.6219663152100425,0.7426741613676119,0.8792921538424306,0.2500224087799939,1.6203939597779353,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[2, 4)",41,1.6219663152100425,0.7157073162328478,0.9062589989771948,0.45235144130995,1.4536349002515776,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[2, 4)",41,0.7426741613676119,0.7157073162328478,0.026966845134764106,-0.2763526683576644,0.30387196904364344,10000
DPA4,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[4, inf)",22,3.693147480683062,1.2986531448016483,2.3944943358814137,0.678134071522901,4.42649360763732,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[4, inf)",22,3.693147480683062,1.919107114587404,1.774040366095658,0.6356768853523873,3.2084334999965543,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[4, inf)",22,1.2986531448016483,1.919107114587404,-0.6204539697857556,-1.5558960613801298,0.22032746632517658,10000
