architecture,fold,regime,evaluation_variant,endpoint,unit,systems,equal_system_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
DPA3,fcc_to_bcc,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,42,0.33894725027620104,0.2186384283863726,0.4771147961015539,10000
DPA3,fcc_to_bcc,pure,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.397783320064475,0.9106230381427146,2.069093513729657,10000
DPA3,fcc_to_bcc,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.4389488080245525,1.2173152546738704,1.691352402251248,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.552267597793434,0.7076903567562262,2.559918119687827,10000
DPA3,fcc_to_bcc,pure,primary,energy_rmse_mev_atom,meV/atom,42,357.6916847399046,247.48525627420935,474.3854010922601,10000
DPA3,fcc_to_bcc,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,42,222.389685281429,148.31949004272218,299.460399008941,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,42,255.35961588668562,139.09266003097255,376.8623454422238,10000
DPA3,fcc_to_bcc,pure,primary,energy_mae_mev_atom,meV/atom,42,350.35821675263367,243.4545369554166,463.8392059484168,10000
DPA3,fcc_to_bcc,pure_pocc_seed,primary,energy_mae_mev_atom,meV/atom,42,212.26186968533295,141.64620869213087,285.54243529522347,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,42,243.3193330159992,132.16235031973525,359.1720543536102,10000
DPA3,fcc_to_bcc,pure,primary,virial_component_rmse_mev_atom,meV/atom,42,711.4667793603085,409.8128117003968,1048.2318055782903,10000
DPA3,fcc_to_bcc,pure_pocc_seed,primary,virial_component_rmse_mev_atom,meV/atom,42,586.5037737529334,363.61116308923204,824.833404249435,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,primary,virial_component_rmse_mev_atom,meV/atom,42,1019.738078162418,424.264743276548,1748.5169718129441,10000
DPA3,fcc_to_bcc,pure,primary,stress_component_rmse_gpa,GPa,42,6.607000411121137,3.6786869629285492,9.925127801822388,10000
DPA3,fcc_to_bcc,pure_pocc_seed,primary,stress_component_rmse_gpa,GPa,42,5.338780921454834,3.2397125150685833,7.621522839271041,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,primary,stress_component_rmse_gpa,GPa,42,10.171625022503475,3.967599119959981,17.823095749236977,10000
DPA3,bcc_to_fcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,41,0.42552977541630643,0.40488644073552366,0.4464153141678861,10000
