architecture,fold,regime,system_id,parent_family,structure,hnf_group,coverage_distance_median,coverage_distance_p90,force_component_rmse_ev_a
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_08_H0C7,0.0,3.6387879886336334,3.7609506217559,1.1387898317777791
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_09_H0C8,0.0,3.43344049491946,3.8236338582832983,1.3468916061325071
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_10_H0C10,0.0,3.50165458128283,3.948347024869183,1.32707719952146
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_11_H0C12,0.0,3.657794283941296,4.13852321432535,0.8069013059843131
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_12_H0C14,0.0,3.636581111363588,3.812300035889917,1.0790320707309575
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_13_H1C0,1.0,2.2568992149322744,2.583116636026776,0.7878099919520436
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_14_H1C1,1.0,2.305596390376425,2.5972959539824823,0.8185687326912922
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_15_H1C2,1.0,2.284670086192091,2.599327910026078,0.8360680472515618
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_16_H1C3,1.0,2.298044631676593,2.5792614635661444,0.818437667873408
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_17_H1C4,1.0,2.1601058364557444,2.502055866270222,0.8046132945871513
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_18_H1C5,1.0,2.008228623362684,2.3686534865916755,0.7521126527887952
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_19_H1C6,1.0,2.27053769003881,2.6066739037117697,0.8270976740718207
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_20_H1C7,1.0,2.2769244700750813,2.5818903713074137,0.8116113809593077
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_21_H1C8,1.0,2.277341313211992,2.582836513839029,0.8234037710653366
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_22_H1C10,1.0,2.2866393090938644,2.586540671561714,0.8474670836217895
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_23_H1C12,1.0,2.263748873318788,2.627125697429473,0.7941575671177391
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_24_H1C14,1.0,2.2459853157484764,2.5714504930356776,0.7853879955347078
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_25_H2C0,2.0,0.0181476384705845,0.0310745493241004,0.3841514031476423
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_33_H2C8,2.0,3.0163189189737256,3.5202730174549117,0.5479503430833825
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_34_H2C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_34_H2C10,2.0,2.8457826114306988,3.3058688066034407,0.6170089042439882
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_35_H2C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_35_H2C12,2.0,2.8350460711739207,3.4271142626189994,0.5418830543894021
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_36_H2C14,2.0,2.9369605921286275,3.5033131975045526,0.5475897429696709
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_37_H3C0,3.0,1.340655447164382,1.8556697549478405,0.7413375111921056
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_38_H4C0,4.0,2.579198319437646,2.9881716912023704,0.7396295523744343
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_39_H4C1,4.0,2.671021693451697,3.041329241686499,0.7383853057707768
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_40_H4C2,4.0,2.625977895136208,3.0057352007814258,0.7130983676839681
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_41_H4C3,4.0,2.578969895013417,3.044981942211165,0.7109242113781861
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_42_H4C4,4.0,2.742285269413846,3.178486379284802,0.7233923309748634
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_43_H4C5,4.0,2.733408818624248,3.2514814270237054,0.7081433770499218
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_44_H4C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_44_H4C6,4.0,2.4581440136647648,2.7357301218242216,0.7590542436140252
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_45_H4C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_45_H4C7,4.0,2.647108788948511,3.109011214675103,0.7583844946158899
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_46_H4C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_46_H4C8,4.0,2.444979961257528,2.806355501577594,0.7036867204029796
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_47_H4C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_47_H4C10,4.0,1.6568688706154575,2.29794115584003,0.6997944603962909
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_48_H4C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_48_H4C12,4.0,2.4673897860529603,2.7343750348567677,0.7455342951415801
DPA2,fcc_to_bcc,pure_pocc_seed,POCC__bcc__POCC_49_H4C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_49_H4C14,4.0,2.603772302566368,3.0491904017157463,0.7506115686553828
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_01_H0C0,0.0,2.762202655887278,2.8184428668577857,0.8011732805615895
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_02_H0C1,0.0,2.723062923444175,2.889567313061879,0.777147477634858
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_03_H0C2,0.0,2.6345663410070923,2.7458374200125464,0.89514826269253
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_04_H0C3,0.0,2.745001153547049,2.944268887566158,0.8372540955093194
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_05_H0C4,0.0,2.5182880586008327,2.567116359931515,0.1357842490265039
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_06_H0C5,0.0,2.5739159963308564,2.6361808615519893,0.7693311744481627
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_07_H0C6,0.0,2.9955030992126623,3.1000669867580632,0.4514625751403109
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_08_H0C7,0.0,2.7613247873704445,2.931758779400797,0.8059891025883489
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_09_H0C8,0.0,2.702376017985972,2.866631378408027,0.767834225089444
DPA2,fcc_to_bcc,pure_pocc_aimd,POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_10_H0C10,0.0,2.835831865205376,3.054230071894428,0.7211181289049466
