architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,41,299.57042796979067,99.66777772098094,199.90265024880972,167.80752460701996,231.18052593107384,66.7297675553504,62.18063747299749,70.54633927860179,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,41,299.57042796979067,20.646179884713554,278.9242480850771,241.6480383378512,314.9046021807437,93.10807143928254,89.68283476461582,95.79047256513624,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,41,99.66777772098094,20.646179884713554,79.02159783626738,66.51174421469125,90.53475523070287,79.28500027108825,70.42517049915871,86.64478430297403,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,41,293.46844556362765,179.8170263626754,113.65141920095226,77.37725818438292,153.39606052454374,38.72696397824863,29.485083086637655,47.01668215020175,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,41,293.46844556362765,134.63439839256955,158.8340471710581,122.08747031519243,198.904985134799,54.123041019284265,45.60752362815946,61.991977934104895,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,41,179.8170263626754,134.63439839256955,45.18262797010584,26.24328039691159,62.10106974363267,25.127002088765714,14.841489977172559,34.618611658148325,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,stress_component_rmse_gpa,GPa,41,2.4225682284865186,1.4898539197274485,0.9327143087590701,0.6344814118402965,1.2588526117044658,38.50105428575593,29.34539736033006,46.752149714390164,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,41,2.4225682284865186,1.1195353391792469,1.3030328893072718,1.0007009958895838,1.6310051833512764,53.787252469720194,45.25387399941084,61.65793233680404,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,stress_component_rmse_gpa,GPa,41,1.4898539197274485,1.1195353391792469,0.37031858054820166,0.21362914399492847,0.5106182959257566,24.85603290663202,14.47120247534795,34.32539713033753,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,42,0.41970066377392906,0.49052357227381505,-0.07082290849988598,-0.1463983406763621,0.01255624931934977,-16.874623895766483,-38.595582837179215,2.6296092446944286,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,42,0.41970066377392906,0.19157582543758586,0.2281248383363432,0.18035024195349558,0.2819237255501086,54.35417620859952,47.687331348294585,60.19537866206788,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,42,0.49052357227381505,0.19157582543758586,0.29894774683622916,0.24099962588539733,0.35365964841292025,60.94462401683596,53.781501877007216,66.76196202608276,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,42,0.28926923603783844,0.3521575063629877,-0.06288827032514926,-0.10983278539234959,-0.01493372624025439,-21.740393547042466,-39.8462056463281,-4.823937495776953,degradation,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,42,0.28926923603783844,0.13339936045620895,0.15586987558162949,0.12660432566340832,0.18610013042359827,53.88401397832731,47.68413186089825,59.32850087444117,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,42,0.3521575063629877,0.13339936045620895,0.21875814590677875,0.17652333934515327,0.25889270882984405,62.11940451477782,56.468463983793335,66.67625849919857,improvement,10000
