contrast_family,contrast_id,difference_definition,fixed_orientation,fixed_temperature_K,endpoint,n_pairs_planned,n_pairs_eligible,status,mean_difference_b_minus_a,sd_difference,ci95_low,ci95_high
orientation,110_minus_100__T1200,[110] - [100],,1200,work_to_20pct_GJ_m3,3,3,estimated,0.3429154767508667,0.07653325931677536,0.1527963210717478,0.5330346324299856
orientation,111_minus_100__T1200,[111] - [100],,1200,tangent_modulus_GPa,3,3,estimated,54.39119365280811,34.85117101153465,-32.183914558860906,140.96630186447715
orientation,111_minus_100__T1200,[111] - [100],,1200,yield_0p2_GPa,3,3,estimated,0.29155312173155135,0.547504473313068,-1.0685233878285922,1.6516296312916947
orientation,111_minus_100__T1200,[111] - [100],,1200,uts_GPa,3,3,estimated,3.798197666666667,0.17660049273525058,3.359497722732842,4.236897610600492
orientation,111_minus_100__T1200,[111] - [100],,1200,strain_at_uts,3,3,estimated,0.009666666666666665,0.01205542754668342,-0.02028067553444963,0.03961400886778296
orientation,111_minus_100__T1200,[111] - [100],,1200,work_to_20pct_GJ_m3,3,3,estimated,0.3814970579694667,0.046534833671916714,0.2658981227306819,0.4970959932082515
orientation,111_minus_110__T1200,[111] - [110],,1200,tangent_modulus_GPa,3,3,estimated,39.78654336687239,8.352504467043016,19.037772031947426,60.53531470179735
orientation,111_minus_110__T1200,[111] - [110],,1200,yield_0p2_GPa,3,3,estimated,0.34222490348416273,0.4546031848905431,-0.7870720120267134,1.4715218189950388
orientation,111_minus_110__T1200,[111] - [110],,1200,uts_GPa,3,3,estimated,-0.3656516666666662,0.3343008138448573,-1.1961009254387345,0.464797592105402
orientation,111_minus_110__T1200,[111] - [110],,1200,strain_at_uts,3,3,estimated,0.008333333333333331,0.0028867513459481355,0.0011622454501478566,0.015504421216518807
orientation,111_minus_110__T1200,[111] - [110],,1200,work_to_20pct_GJ_m3,3,3,estimated,0.03858158121859997,0.07094849634048561,-0.1376642541394088,0.21482741657660875
