run_id,orientation,temperature_K,chemical_seed,velocity_seed,strain_bin,strain_mean,stress_GPa_mean,raw_samples
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,93,0.09345,4.229516,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,94,0.09445,4.3097389999999995,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,95,0.09545,4.185653,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,96,0.09645,4.114794999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,97,0.09745,4.216222,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,98,0.09845,4.164077000000001,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,99,0.09945,4.265185,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,100,0.10045,4.233344000000001,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,101,0.10145,4.2229149999999995,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,102,0.10245,4.099574,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,103,0.10345,4.22179,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,104,0.10445,4.214897,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,105,0.10545,4.1027070000000005,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,106,0.10645,4.271247,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,107,0.10745,4.25105,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,108,0.10845,4.159421,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,109,0.10945,4.280737,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,110,0.11045,4.1672910000000005,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,111,0.11145000000000001,4.137780000000001,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,112,0.11245000000000001,4.134794999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,113,0.11345000000000001,4.10877,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,114,0.11445000000000001,4.183889,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,115,0.11545000000000001,4.07051,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,116,0.11645000000000001,4.091628000000001,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,117,0.11745000000000001,4.076680999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,118,0.11844999999999999,4.028074999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,119,0.11945000000000001,3.9709949999999994,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,120,0.12044999999999999,3.966424000000001,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,121,0.12144999999999999,4.0779060000000005,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,122,0.12244999999999999,4.101801,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,123,0.12344999999999999,4.061995,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,124,0.12444999999999999,4.000648,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,125,0.12544999999999998,4.096582,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,126,0.12645,4.1442559999999995,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,127,0.12744999999999998,4.080554,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,128,0.12845,3.9726549999999996,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,129,0.12944999999999998,3.9951250000000003,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,130,0.13045,3.8751380000000006,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,131,0.13144999999999998,3.9370509999999994,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,132,0.13245,3.9187619999999996,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,133,0.13344999999999999,3.936334,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,134,0.13445000000000001,3.735548,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,135,0.13545,3.7001890000000004,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,136,0.13645000000000002,3.748245,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,137,0.13745,3.737186,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,138,0.13845000000000002,3.7666370000000002,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,139,0.13945,3.677908,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,140,0.14045000000000002,3.607488,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,141,0.14145,3.5939129999999997,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,142,0.14245000000000002,3.4077379999999997,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,143,0.14345,3.3747219999999998,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,144,0.14445000000000002,3.364361,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,145,0.14545,3.4283720000000004,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,146,0.14645000000000002,3.385013,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,147,0.14745,3.2932590000000004,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,148,0.14845000000000003,3.1173360000000003,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,149,0.14945,3.001713,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,150,0.15045000000000003,2.975194,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,151,0.15145,2.7685990000000005,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,152,0.15245000000000003,2.5829999999999997,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,153,0.15345,2.449464,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,154,0.15445000000000003,2.269971,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,155,0.15545,2.11822,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,156,0.15645000000000003,1.957847,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,157,0.15745,1.8140129999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,158,0.15845000000000004,1.729605,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,159,0.15944999999999998,1.911164,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,160,0.16045,1.808221,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,161,0.16144999999999998,1.9897749999999998,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,162,0.16245,1.952189,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,163,0.16344999999999998,1.9311349999999998,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,164,0.16445,1.858679,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,165,0.16544999999999999,1.9227359999999998,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,166,0.16645000000000001,1.8830540000000002,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,167,0.16745,1.8063180000000003,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,168,0.16845000000000002,1.6228849999999997,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,169,0.16945,1.629419,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,170,0.17045000000000002,1.65847,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,171,0.17145,1.64554,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,172,0.17245000000000002,1.5814489999999997,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,173,0.17345,1.676682,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,174,0.17445000000000002,1.793872,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,175,0.17545,1.6870660000000002,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,176,0.17645000000000002,1.582907,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,177,0.17745,1.539349,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,178,0.17845,1.519273,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,179,0.17944999999999997,1.366997,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,180,0.18045,1.3673959999999998,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,181,0.18144999999999997,1.4410749999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,182,0.18245,1.346455,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,183,0.18344999999999997,1.3617329999999999,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,184,0.18445,1.350834,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,185,0.18544999999999998,1.4064780000000001,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,186,0.18645,1.353563,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,187,0.18744999999999998,1.306584,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,188,0.18845,1.3953590000000002,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,189,0.18944999999999998,1.245968,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,190,0.19045,1.335435,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,191,0.19144999999999998,1.377755,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,192,0.19245,1.2832149999999998,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,193,0.19344999999999998,1.288141,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,194,0.19445,1.3597309999999998,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,195,0.19544999999999998,1.3816220000000001,10
compact_100_chem20260825_T300_rate0p005,100,300,20260825,20260901,196,0.19645,1.1792799999999999,10
